year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.948358744085,401.677310188796,398.219407299374
2016,403.116962599501,405.119066227606,401.114858971395
2017,405.813960957889,407.904553309962,403.723368605816
2018,408.833960011041,410.97559192234,406.692328099743
2019,411.95095891964,414.151421878018,409.750495961261
2020,415.164957855151,417.422799232802,412.9071164775
2021,418.477956952364,420.78446098244,416.171452922289
2022,421.867956076538,424.22167013123,419.514242021846
2023,425.318955200705,427.719879280013,422.918031121397
2024,428.831954324886,431.280088428811,426.383820220962
2025,432.407953449083,434.903297577624,429.912609320542
2026,436.047952573199,438.590506726356,433.505398420042
2027,439.751951697368,442.341715875142,437.162187519595
2028,443.519950821594,446.156925023984,440.882976619204
2029,447.351949945764,450.036134172771,444.667765718758
2030,451.24794909735,453.977868730801,448.518029463899
2031,455.20694841301,457.973755743877,452.440141082144
2032,459.215947755979,462.018168166089,456.413727345868
2033,463.263947099088,466.101580588442,460.426313609733
2034,467.351946442023,470.224993010621,464.478899873425
2035,471.481945785102,474.390405432944,468.57348613726
2036,475.654945128094,478.59881785518,472.711072401009
2037,479.873944471178,482.853230277508,476.894658664849
2038,484.138943814169,487.153642699743,481.124244928596
2039,488.452943157154,491.503055121971,485.402831192337
2040,492.815942519459,495.900427697364,489.731457341555
2041,497.229941997544,500.342561191596,494.117322803492
2042,501.68794149495,504.827654838992,498.548228150907
2043,506.182940992276,509.349748486309,503.016133498242
2044,510.716940489709,513.910842133733,507.523038845685
2045,515.29193998696,518.512935780975,512.070944192945
2046,519.909939484318,523.158029428324,516.661849540313
2047,524.572938981753,527.848123075749,521.297754887756
2048,529.28293847909,532.585216723077,525.980660235103
2049,534.040937976371,537.370310370349,530.711565582393
2050,538.848937483199,542.204893446313,535.492981520085
2051,543.708937046943,547.088413094064,540.329460999821
2052,548.620936620102,552.023422170376,545.218451069828
2053,553.583936193147,557.009431246574,550.15844113972
2054,558.599935766277,562.048440322857,555.151431209697
2055,563.667935339551,567.139449399284,560.196421279818
2056,568.790934912585,572.285458475471,565.2964113497
2057,573.968934485767,577.486467551805,570.451401419728
