year,data_mean_global,data_mean_nh,data_mean_sh
0,277.454010009766,277.454010009766,277.454010009766
1,277.136993408203,277.136993408203,277.136993408203
2,277.160003662109,277.160003662109,277.160003662109
3,277.157989501953,277.157989501953,277.157989501953
4,277.157012939453,277.157012939453,277.157012939453
5,277.1669921875,277.1669921875,277.1669921875
6,277.171997070312,277.171997070312,277.171997070312
7,277.170989990234,277.170989990234,277.170989990234
8,277.174987792969,277.174987792969,277.174987792969
9,277.175994873047,277.175994873047,277.175994873047
10,277.178985595703,277.178985595703,277.178985595703
11,277.194000244141,277.194000244141,277.194000244141
12,277.197998046875,277.197998046875,277.197998046875
13,277.200988769531,277.200988769531,277.200988769531
14,277.200988769531,277.200988769531,277.200988769531
15,277.210998535156,277.210998535156,277.210998535156
16,277.217010498047,277.217010498047,277.217010498047
17,277.221008300781,277.221008300781,277.221008300781
18,277.226013183594,277.226013183594,277.226013183594
19,277.226989746094,277.226989746094,277.226989746094
20,277.231994628906,277.231994628906,277.231994628906
21,277.234008789062,277.234008789062,277.234008789062
22,277.236999511719,277.236999511719,277.236999511719
23,277.244995117188,277.244995117188,277.244995117188
24,277.248992919922,277.248992919922,277.248992919922
25,277.256011962891,277.256011962891,277.256011962891
26,277.260009765625,277.260009765625,277.260009765625
27,277.277008056641,277.277008056641,277.277008056641
28,277.279998779297,277.279998779297,277.279998779297
29,277.282012939453,277.282012939453,277.282012939453
30,277.283996582031,277.283996582031,277.283996582031
31,277.285003662109,277.285003662109,277.285003662109
32,277.292999267578,277.292999267578,277.292999267578
33,277.290985107422,277.290985107422,277.290985107422
34,277.295013427734,277.295013427734,277.295013427734
35,277.299987792969,277.299987792969,277.299987792969
36,277.304992675781,277.304992675781,277.304992675781
37,277.311004638672,277.311004638672,277.311004638672
38,277.316009521484,277.316009521484,277.316009521484
39,277.317993164062,277.317993164062,277.317993164062
40,277.325012207031,277.325012207031,277.325012207031
41,277.329986572266,277.329986572266,277.329986572266
42,277.334014892578,277.334014892578,277.334014892578
43,277.337005615234,277.337005615234,277.337005615234
44,277.341003417969,277.341003417969,277.341003417969
45,277.342987060547,277.342987060547,277.342987060547
46,277.347991943359,277.347991943359,277.347991943359
47,277.351013183594,277.351013183594,277.351013183594
48,277.352996826172,277.352996826172,277.352996826172
49,277.359985351562,277.359985351562,277.359985351562
50,277.361999511719,277.361999511719,277.361999511719
51,277.363006591797,277.363006591797,277.363006591797
52,277.368011474609,277.368011474609,277.368011474609
53,277.371002197266,277.371002197266,277.371002197266
54,277.376007080078,277.376007080078,277.376007080078
55,277.378997802734,277.378997802734,277.378997802734
56,277.385009765625,277.385009765625,277.385009765625
57,277.386993408203,277.386993408203,277.386993408203
58,277.389007568359,277.389007568359,277.389007568359
59,277.394989013672,277.394989013672,277.394989013672
60,277.397003173828,277.397003173828,277.397003173828
61,277.402008056641,277.402008056641,277.402008056641
62,277.406005859375,277.406005859375,277.406005859375
63,277.407989501953,277.407989501953,277.407989501953
64,277.4169921875,277.4169921875,277.4169921875
65,277.423004150391,277.423004150391,277.423004150391
66,277.428009033203,277.428009033203,277.428009033203
67,277.429992675781,277.429992675781,277.429992675781
68,277.433013916016,277.433013916016,277.433013916016
69,277.43701171875,277.43701171875,277.43701171875
70,277.436004638672,277.436004638672,277.436004638672
71,277.43701171875,277.43701171875,277.43701171875
72,277.43701171875,277.43701171875,277.43701171875
73,277.445007324219,277.445007324219,277.445007324219
74,277.451995849609,277.451995849609,277.451995849609
75,277.457000732422,277.457000732422,277.457000732422
76,277.462005615234,277.462005615234,277.462005615234
77,277.460998535156,277.460998535156,277.460998535156
78,277.463012695312,277.463012695312,277.463012695312
79,277.471984863281,277.471984863281,277.471984863281
80,277.476989746094,277.476989746094,277.476989746094
81,277.480987548828,277.480987548828,277.480987548828
82,277.486999511719,277.486999511719,277.486999511719
83,277.489013671875,277.489013671875,277.489013671875
84,277.497009277344,277.497009277344,277.497009277344
85,277.505004882812,277.505004882812,277.505004882812
86,277.509002685547,277.509002685547,277.509002685547
87,277.515991210938,277.515991210938,277.515991210938
88,277.519989013672,277.519989013672,277.519989013672
89,277.528015136719,277.528015136719,277.528015136719
90,277.536010742188,277.536010742188,277.536010742188
91,277.540985107422,277.540985107422,277.540985107422
92,277.553985595703,277.553985595703,277.553985595703
93,277.559997558594,277.559997558594,277.559997558594
94,277.571014404297,277.571014404297,277.571014404297
95,277.571014404297,277.571014404297,277.571014404297
96,277.579010009766,277.579010009766,277.579010009766
97,277.584014892578,277.584014892578,277.584014892578
98,277.596984863281,277.596984863281,277.596984863281
99,277.609008789062,277.609008789062,277.609008789062
100,277.619995117188,277.619995117188,277.619995117188
101,277.622985839844,277.622985839844,277.622985839844
102,277.630004882812,277.630004882812,277.630004882812
103,277.632995605469,277.632995605469,277.632995605469
104,277.635986328125,277.635986328125,277.635986328125
105,277.644989013672,277.644989013672,277.644989013672
106,277.643005371094,277.643005371094,277.643005371094
107,277.651000976562,277.651000976562,277.651000976562
108,277.656005859375,277.656005859375,277.656005859375
109,277.658996582031,277.658996582031,277.658996582031
110,277.662994384766,277.662994384766,277.662994384766
111,277.670989990234,277.670989990234,277.670989990234
112,277.678009033203,277.678009033203,277.678009033203
113,277.694000244141,277.694000244141,277.694000244141
114,277.701995849609,277.701995849609,277.701995849609
115,277.709991455078,277.709991455078,277.709991455078
116,277.717010498047,277.717010498047,277.717010498047
117,277.717987060547,277.717987060547,277.717987060547
118,277.722991943359,277.722991943359,277.722991943359
119,277.726013183594,277.726013183594,277.726013183594
120,277.733001708984,277.733001708984,277.733001708984
121,277.739013671875,277.739013671875,277.739013671875
122,277.743988037109,277.743988037109,277.743988037109
123,277.747985839844,277.747985839844,277.747985839844
124,277.75,277.75,277.75
125,277.757995605469,277.757995605469,277.757995605469
