year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.948434987412,401.677386432123,398.219483542701
2016,403.116962601189,405.118975234687,401.114949967691
2017,405.81296097055,407.902870863065,403.723051078035
2018,408.831960031299,410.972500007304,406.691420055294
2019,411.94595894665,414.144965991304,409.746951901995
2020,415.154957890165,417.410911887993,412.899003892337
2021,418.460957002895,420.764737261044,416.157176744745
2022,421.842956143837,424.193042546832,419.492869740842
2023,425.282955284773,427.679347832614,422.886562736932
2024,428.783954425722,431.226653118409,426.341255733035
2025,432.346953566687,434.83595840422,429.857948729154
2026,435.974952707572,438.510263689951,433.439641725194
2027,439.66995184851,442.251568975734,437.088334721286
2028,443.431950989504,446.059874261574,440.804027717434
2029,447.262950130443,449.937179547359,444.588720713527
2030,451.163949301999,453.882837608597,448.445060995401
2031,455.135948656847,457.889612322146,452.382284991548
2032,459.165948042206,461.952739811042,456.37915627337
2033,463.241947427705,466.061867300079,460.422027555331
2034,467.36494681303,470.217994788942,464.511898837119
2035,471.5389461985,474.425122277949,468.652770119051
2036,475.764945583882,478.684249766869,472.845641400896
2037,480.044944969356,482.99737725588,477.092512682832
2038,484.379944354737,487.365504744798,481.394383964676
2039,488.771943740113,491.790632233711,485.753255246514
2040,493.220943142505,496.271843980019,490.170042304991
2041,497.730942646863,500.80856127056,494.653324023167
2042,502.291942168241,505.395362818498,499.188521517984
2043,506.900941689537,510.030164366355,503.77171901272
2044,511.556941210943,514.71196591432,508.401916507565
2045,516.263940732164,519.444767462101,513.083114002226
2046,521.020940253493,524.227569009991,517.814311496995
2047,525.829939774899,529.062370557958,522.597508991841
2048,530.691939296207,533.950172105826,527.433706486588
2049,535.608938817459,538.892973653638,532.324903981279
2050,540.580938355024,543.88989990019,537.271976809859
2051,545.609937990105,548.938574338811,542.281301641399
2052,550.690937641368,554.03837347604,547.343501806695
2053,555.821937292514,559.188172613153,552.455701971875
2054,561.003936943747,564.388971750353,557.618902137142
2055,566.238936595126,569.642770887698,562.835102302555
2056,571.525936246262,574.9485700248,568.103302467724
2057,576.867935897547,580.309369162052,573.426502633043
2058,582.265935548708,585.726168299179,578.805702798237
2059,587.718935199915,591.197967436352,584.239902963477
2060,593.22993484912,596.72787728163,589.73199241661
2061,598.797934486057,602.315451375277,595.280417596838
2062,604.42393412094,607.961136176975,600.886732064905
2063,610.10693375563,613.66382097848,606.55004653278
2064,615.846933390516,619.423505780182,612.27036100085
2065,621.646933025204,625.243190581685,618.050675468723
2066,627.504932660236,631.120875383533,623.88898993694
2067,633.422932294845,637.058560184957,629.787304404733
2068,639.401931929811,643.057244986738,635.746618872884
2069,645.441931564658,649.116929788401,641.766933340915
2070,651.543931199313,655.238614084346,647.849248314281
2071,657.707930834203,661.422295347372,653.993566321034
2072,663.933930468902,667.667976104682,660.199884833123
2073,670.221930103793,673.975656862183,666.468203345402
2074,676.571929738897,680.345337619898,672.798521857896
2075,682.984929373686,686.778018377297,679.191840370074
2076,689.460929008536,693.273699134758,685.648158882314
2077,696.001928643455,699.834379892288,692.169477394623
2078,702.605928278332,706.458060649776,698.753795906889
2079,709.27492791329,713.146741407345,705.403114419236
2080,716.007927534199,719.900182714126,712.11567235427
2081,722.807927070237,726.725187315619,718.890666824855
2082,729.67892659209,733.621952466189,725.735900717991
2083,736.628926114069,740.597717616885,732.660134611252
2084,743.656925636196,747.65148276773,739.662368504663
2085,750.763925158282,754.784247918533,746.743602398031
2086,757.950924680338,761.997013069306,753.90483629137
2087,765.215924202158,769.287778219843,761.144070184473
2088,772.560923723972,776.658543370374,768.463304077569
2089,779.983923246266,784.107308521386,775.860537971147
2090,787.487922766057,791.637186402102,783.338659130011
2091,795.069922273502,799.245740663725,790.894103883279
2092,802.735921778657,806.938407655265,798.533435902049
2093,810.488921284114,814.718074647108,806.25976792112
2094,818.327920789127,822.583741638506,814.072099939748
2095,826.253920294636,830.536408630401,821.971431958872
2096,834.266919799786,838.576075621936,829.957763977636
2097,842.366919304932,846.702742613467,838.031095996397
2098,850.553918810231,854.916409605151,846.19142801531
2099,858.828918315831,863.218076597137,854.439760034525
2100,867.190917951087,871.599727528993,862.782108373181
2101,875.639918367286,880.026289685966,871.253547048606
2102,884.109918913014,888.466873697103,879.752964128926
2103,892.532919459423,896.860422322128,888.205416596718
2104,900.910920005652,905.208981057486,896.612858953818
2105,909.246920551505,913.515554958235,904.978286144774
2106,917.540921097681,921.780118748796,913.301723446566
2107,925.79292164349,930.00269517713,921.583148109851
2108,934.004922189491,938.185266550399,929.824577828583
2109,942.176922736126,946.327800009883,938.026045462369
2110,950.307923282181,954.429368855579,946.186477708784
2111,958.396923828167,962.488932645949,954.304915010384
2112,966.444924374209,970.507504019259,962.382344729158
2113,974.45192492072,978.48505011676,970.418799724681
2114,982.4159254669,986.419608852068,978.412242081732
2115,990.336926012817,994.311180225254,986.362671800381
2116,998.213926559135,1002.15872885019,994.269124268082
2117,1006.04992710511,1009.96530022343,1002.13455398679
2118,1013.83992765136,1017.72586148643,1009.95399381628
2119,1021.57992819756,1025.43642274939,1017.72343364572
2120,1029.26992874338,1033.09699665011,1025.44286083665
2121,1036.91992928952,1040.71755538538,1033.12230319366
2122,1044.51992983591,1048.28810401038,1040.75175566143
2123,1052.07993038156,1055.81869054907,1048.34117021404
2124,1059.57993092764,1063.28925686716,1055.87060498811
2125,1067.02993147363,1070.70983076805,1063.35003217921
2126,1074.43993201962,1078.09038950317,1070.78947453607
2127,1081.78993256608,1085.410933073,1078.16893205917
2128,1089.0899331125,1092.68148928092,1085.49837694409
2129,1096.32993365868,1099.89204801622,1092.76781930114
2130,1103.52993420506,1107.06260675173,1099.99726165839
2131,1110.66993475117,1114.1731680146,1107.16670148774
2132,1117.74993529685,1121.2237444428,1114.27612615089
2133,1124.77993584301,1128.22431834386,1121.33555334217
2134,1131.75993638911,1135.17486696857,1128.34500580965
2135,1138.66993693518,1142.05544086954,1135.28443300082
2136,1145.52993748099,1148.88601477025,1142.17386019173
2137,1152.33993802758,1155.66656086783,1149.01331518734
2138,1159.07993857372,1162.37711707547,1155.78276007197
2139,1165.76993911984,1169.03767328309,1162.50220495659
2140,1172.39993966618,1175.63822190805,1169.16165742432
2141,1178.95994021196,1182.16880591923,1175.75107450469
2142,1185.46994075843,1188.64935707195,1182.29052444491
2143,1191.91994130426,1195.06993097267,1188.76995163584
2144,1198.30994185037,1201.43050487368,1195.18937882706
2145,1204.62994239657,1207.72104844324,1201.5388363499
2146,1210.889942943,1213.95159454066,1207.82829134534
2147,1217.08994348888,1220.12218107957,1214.05770589818
2148,1223.22994403488,1226.23274739759,1220.22714067217
2149,1229.2999445806,1232.27332129821,1226.32656786299
2150,1235.31994512684,1238.26387750595,1232.37601274773
2151,1241.2599456737,1244.17441096566,1238.34548038175
2152,1247.14994621949,1250.03499497685,1244.26489746212
2153,1252.96994676533,1255.8255612947,1250.11433223595
2154,1258.73994731128,1261.56613266792,1255.91376195463
2155,1264.44994785798,1267.24668129325,1261.65321442272
2156,1270.09994840376,1272.86725013866,1267.33264666886
2157,1275.69994895029,1278.43779623619,1272.9621016644
2158,1281.22994949637,1283.93835244376,1278.52154654898
2159,1286.69995004245,1289.3789137066,1284.0209863783
2160,1292.10995058841,1294.75948760745,1289.46041356937
2161,1297.46995113458,1300.09005645327,1294.8498458159
2162,1302.75995168014,1305.35065815763,1300.16924520265
