year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.949389611844,401.678341056555,398.220438167134
2016,403.116962767974,405.109985134223,401.123940401724
2017,405.742962221669,407.765432471682,403.720491971656
2018,408.55696203459,410.589517698496,406.524406370683
2019,411.339961618955,413.394922177398,409.285001060511
2020,414.100961171581,416.180035553847,412.021886789314
2021,416.842960533995,418.956402315804,414.729518752186
2022,419.610959864718,421.760477975357,417.461441754079
2023,422.441959195434,424.627553634902,420.256364755966
2024,425.334958526164,427.556629294461,423.113287757866
2025,428.289957856908,430.547704954035,426.032210759781
2026,431.307957187576,433.601780613533,429.01413376162
2027,434.386956518295,436.716856273081,432.057056763509
2028,437.527955849066,439.893931932681,435.161979765451
2029,440.730955179786,443.13300759223,438.328902767341
2030,443.996954563223,446.432244525498,441.561664600949
2031,447.324954262586,449.776449100691,444.87345942448
2032,450.695954014567,453.160814949504,448.231093079631
2033,454.092953766678,456.571180798445,451.614726734911
2034,457.51795351863,460.009546647228,455.026360390032
2035,460.972953270714,463.477912496143,458.467994045285
2036,464.456953022718,466.975278344978,461.938627700458
2037,467.972952774805,470.504644193896,465.441261355714
2038,471.520952526808,474.06601004273,468.975895010886
2039,475.101952278806,477.660375891559,472.543528666053
2040,478.716952059059,481.287220136591,476.146683981527
2041,482.365952008714,484.938934758711,479.792969258716
2042,486.032951986624,488.607127777034,483.458776196214
2043,489.702951964462,492.278320795286,487.127583133639
2044,493.377951942397,495.954513813633,490.80139007116
2045,497.058951920169,499.636706831818,494.481197008519
2046,500.746951898037,503.325899850099,498.168003945974
2047,504.443951875971,507.024092868447,501.863810883496
2048,508.14995185382,510.731285886709,505.568617820931
2049,511.86695183162,514.449478904922,509.284424758318
2050,515.593951824979,518.176836810404,513.011066839553
2051,519.331951911368,521.910184039183,516.753719783553
2052,523.0739520132,525.646696155115,520.501207871285
2053,526.812952114934,529.380208270948,524.245695958919
2054,530.547952216741,533.109720386855,527.986184046626
2055,534.280952318673,536.837232502887,531.724672134458
2056,538.012952420397,540.563744618712,535.462160222083
2057,541.743952522248,544.289256734663,539.198648309834
2058,545.474952623995,548.01476885051,542.935136397481
2059,549.205952725781,551.740280966395,546.671624485166
2060,552.936952842292,555.465001696681,550.408903987902
2061,556.66795304694,559.184974113155,554.150931980725
2062,560.390953266268,562.896155143985,557.885751388551
2063,564.096953485438,566.590336174655,561.60357079622
2064,567.786953704769,570.268517205487,565.30539020405
2065,571.461953923937,573.931698236157,568.992209611717
2066,575.120954143386,577.578879267107,572.663029019665
2067,578.764954362491,581.211060297713,576.318848427269
2068,582.393954581884,584.828241328608,579.959667835161
2069,586.008954801182,588.431422359407,583.586487242957
2070,589.609955065894,592.018146833973,587.201763297815
2071,593.196955604192,595.576131972242,590.817779236142
2072,596.739956187907,599.087660554281,594.392251821533
2073,600.210956771773,602.527189136471,597.894724407075
2074,603.613957355805,605.898717718827,601.329196992783
2075,606.948957939592,609.202246300938,604.695669578246
2076,610.216958523426,612.438774883097,607.995142163756
2077,613.419959107314,615.610303465308,611.229614749319
2078,616.557959691169,618.716832047487,614.399087334851
2079,619.630960275084,621.758360629727,617.503559920442
2080,622.639960871681,624.735208028903,620.544713714459
2081,625.584961543945,627.64396832928,623.525954758609
2082,628.462962228791,630.485047446496,626.440877011086
2083,631.27196291373,633.257126563805,629.286799263656
2084,634.011963598776,635.960205681221,632.063721516332
2085,636.681964283792,638.593284798606,634.770643768978
2086,639.282964968785,641.157363915968,637.408566021602
2087,641.813965653613,643.651443033165,639.97648827406
2088,644.275966338439,646.076522150361,642.475410526516
2089,646.668967023596,648.432601267887,644.905332779304
2090,648.991967718462,650.718141757597,647.265793679326
2091,651.244968473422,652.930450482249,649.559486464595
2092,653.428969238241,655.073220579234,651.784717897249
2093,655.544970003262,657.147990676421,653.941949330104
2094,657.59097076799,659.152760773314,656.029180762666
2095,659.567971533041,661.088530870531,658.047412195552
2096,661.474972297859,662.954300967514,659.995643628204
2097,663.311973062678,664.750071064499,661.873875060857
2098,665.078973827594,666.475841161581,663.682106493607
2099,666.776974592695,668.132611258848,665.421337926543
2100,668.403975282115,669.722443178619,667.085507385611
2101,669.959975519604,671.26564098032,668.654310058889
2102,671.487975682272,672.784872801478,670.191078563067
2103,673.023975844806,674.312112205385,671.735839484227
2104,674.566976007481,675.846344026549,673.287607988412
2105,676.115976169713,677.386598595923,674.845353743503
2106,677.667976332397,678.929830417097,676.406122247697
2107,679.222976494911,680.476069820984,677.969883168838
2108,680.778976657587,682.02330164215,679.534651673024
2109,682.335976819873,683.57155368395,681.100399955797
2110,683.891976982832,685.118770339631,682.665183626034
2111,685.445977145334,686.664009743506,684.227944547162
2112,686.998977307784,688.208254202586,685.789700412983
2113,688.548977470189,689.749501189247,687.348453751129
2114,690.094977632431,691.286755758632,688.90319950623
2115,691.63797779537,692.820972414293,690.454983176448
2116,693.176977957883,694.351211818179,692.002744097587
2117,694.709978120319,695.875456277245,693.544499963394
2118,696.238978282866,697.395695681165,695.082260884567
2119,697.76197844578,698.909914864428,696.614042027131
2120,699.278978607818,700.418179544121,698.139777671516
2121,700.788978770709,701.919398727361,699.658558814057
2122,702.292978933284,703.414635603681,701.171322262886
2123,703.790979095945,704.903867424832,702.678090767058
2124,705.280979258242,706.385119466643,704.176839049842
2125,706.762979421162,707.858338649912,705.667620192411
2126,708.237979583411,709.324590691675,707.151368475147
2127,709.705979746076,710.783822512829,708.628136979322
2128,711.164979908592,712.234064444348,710.095895372837
2129,712.61598007107,713.676306375826,711.555653766313
2130,714.058980233727,715.110540724602,713.007419742853
2131,715.492980395684,716.535810459468,714.450150331899
2132,716.917980558265,717.952044808167,715.883916308363
2133,718.334980720938,719.360279156957,717.309682284918
2134,719.742980884062,720.759483174663,718.726478593461
2135,721.141981046199,722.149745326826,720.134216765573
2136,722.531981209079,723.530964510056,721.532997908103
2137,723.911981371688,724.90220138641,722.921761356966
2138,725.282981534332,726.264433207544,724.301529861121
2139,726.643981696553,727.616687776906,725.6712756162
2140,727.995981859165,728.959922125636,727.032041592695
2141,729.337982021375,730.293179222615,728.382784820134
2142,730.669982183836,731.616423681705,729.723540685966
2143,731.991982346532,732.929652975263,731.0543117178
2144,733.303982509101,734.232892379206,732.375072638995
