year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.949155879639,401.678107244369,398.220204514909
2016,403.116962821214,405.10711531864,401.126810323789
2017,405.751962620999,407.752907591018,403.751017650981
2018,408.591962673668,410.590069801174,406.593855546163
2019,411.416962471184,413.425984907418,409.407940034951
2020,414.231962320565,416.249102486863,412.214822154267
2021,417.041962481353,419.050434905735,415.033490056971
2022,419.808962694055,421.805969797857,417.811955590252
2023,422.498962906748,424.484504689971,420.513421123526
2024,425.119963119456,427.094039582098,423.145886656813
2025,427.673963332178,429.636574474241,425.711352190115
2026,430.165963544825,432.117109366308,428.214817723342
2027,432.597963757522,434.537644258425,430.658283256618
2028,434.97396397027,436.902179150594,433.045748789946
2029,437.294964182967,439.211714042711,435.378214323223
2030,439.563964466954,441.46540903367,437.662519900237
2031,441.780965178311,443.644064617311,439.917865739311
2032,443.928965960865,445.7498802997,442.10805162203
2033,445.989966743538,447.768695982208,444.211237504867
2034,447.968967526065,449.705511664571,446.23242338756
2035,449.865968308713,451.560327347054,448.171609270372
2036,451.684969091289,453.337143029465,450.032795153113
2037,453.425969873938,455.03595871195,451.815981035927
2038,455.091970656514,456.65977439436,453.524166918667
2039,456.683971439086,458.209590076768,455.158352801404
2040,458.200972215613,459.684732828192,456.717211603033
2041,459.646972955757,461.090837993608,458.203107917905
2042,461.018973689855,462.423270228041,459.614677151669
2043,462.314974423894,463.679702462415,460.950246385374
2044,463.53597515801,464.861134696865,462.210815619155
2045,464.682975891998,465.968566931187,463.397384852809
2046,465.754976626062,467.000999165585,464.508954086538
2047,466.752977360175,467.959431400033,465.546523320317
2048,467.677978094224,468.844863634417,466.511092554032
2049,468.529978828237,469.657295868764,467.40266178771
2050,469.309979555035,470.398119625473,468.221839484598
2051,470.018980238304,471.070292516109,468.967667960498
2052,470.662980914272,471.677856929022,469.648104899522
2053,471.249981590173,472.228421341867,470.271541838479
2054,471.778982266125,472.720985754763,470.836978777487
2055,472.250982942159,473.156550167742,471.345415716576
2056,472.664983618056,473.534114580583,471.795852655529
2057,473.021984294036,473.854678993507,472.189289594565
2058,473.32198496995,474.118243406365,472.525726533534
2059,473.563985645888,474.323807819248,472.804163472528
2060,473.749986314787,474.47375313863,473.026219490944
2061,473.877986941313,474.567983896871,473.187989985756
2062,473.958987560771,474.615595561582,473.302379559959
2063,473.998988180136,474.622207226201,473.375769134072
2064,473.998988799595,474.588818890913,473.409158708277
2065,473.956989418962,474.513430555534,473.40054828239
2066,473.872990038484,474.396042220309,473.349937856658
2067,473.746990657817,474.236653884896,473.257327430738
2068,473.577991277306,474.034265549639,473.121717004974
2069,473.364991896743,473.787877214329,472.942106579157
2070,473.109992539812,473.498210681175,472.721774398448
2071,472.810993325231,473.156874961513,472.465111688949
2072,472.457994134288,472.760261044011,472.155727224564
2073,472.040994943419,472.299647126585,471.782342760253
2074,471.560995752629,471.776033209237,471.345958296021
2075,471.017996561722,471.189419291772,470.846573831673
2076,470.413997370838,470.54180537433,470.286189367346
2077,469.748998179978,469.833191456912,469.664804903044
2078,469.021998989103,469.062577539479,468.981420438728
2079,468.235999798254,468.232963622072,468.239035974437
2080,467.390000576011,467.345042931264,467.434958220758
2081,466.484001165224,466.40728159987,466.560720730578
2082,465.536001723002,465.429213495034,465.64278995097
2083,464.56100228082,464.424145390238,464.697859171401
2084,463.558002838678,463.391077285483,463.724928391874
2085,462.527003396526,462.330009180716,462.723997612335
2086,461.466003954362,461.238941075939,461.693066832786
2087,460.375004512139,460.117872971102,460.632136053176
2088,459.255005069915,458.967804866264,459.542205273566
2089,458.104005627811,457.786736761546,458.421274494075
2090,456.92400610844,456.580828044188,457.267184172692
2091,455.713006126128,455.368875651648,456.057136600608
2092,454.502006066605,454.161082646523,454.842929486686
2093,453.31900600715,452.981289641467,453.656722372833
2094,452.160005947597,451.825496636313,452.494515258882
