year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.94909699401,401.678048518702,398.220145469318
2016,403.116962782491,405.109202595114,401.124722969869
2017,405.761962330317,407.778576066269,403.745348594365
2018,408.631962206926,410.65522833243,406.608696081423
2019,411.505961847486,413.548603758139,409.463319936833
2020,414.389961491936,416.451767625275,412.328155358597
2021,417.286961159944,419.36666214119,415.207260178697
2022,420.197960831889,422.295345098579,418.100576565198
2023,423.124960503827,425.240028055962,421.009892951692
2024,426.068960175778,428.201711013358,423.936209338199
2025,429.029959847745,431.180393970768,426.879525724721
2026,432.010959519635,434.179076928103,429.842842111167
2027,435.011959191576,437.197759885488,432.826158497663
2028,438.032958863569,440.236442842926,435.829474884212
2029,441.076958535511,443.298125800312,438.855791270709
2030,444.142958229404,446.380628377377,441.905288081432
2031,447.231958054629,449.479048672134,444.984867437124
2032,450.332957901707,452.588288586472,448.077627216943
2033,453.434957748914,455.698528500939,451.171386996889
2034,456.540957595963,458.812768415247,454.269146776679
2035,459.651957443143,461.932008329687,457.371906556599
2036,462.769957290244,465.058248244047,460.48166633644
2037,465.896957137427,468.19348815849,463.600426116363
2038,469.032956984527,471.33772807285,466.728185896204
2039,472.178956831622,474.491967987205,469.865945676039
2040,475.335956686696,477.65677922383,473.015134149561
2041,478.503956589514,480.830018393954,476.177894785074
2042,481.673956500312,484.00482888635,479.343084114274
2043,484.83795641104,487.173639378675,482.502273443404
2044,487.99595632186,490.336449871094,485.655462772627
2045,491.149956232524,493.495260363355,488.804652101693
2046,494.299956143281,496.65007085571,491.949841430852
2047,497.446956054101,499.801881348128,495.092030760075
2048,500.59195596484,502.951691840464,498.232220089215
2049,503.733955875531,506.098502332753,501.369409418309
2050,506.874955813098,509.242867554231,504.507044071965
2051,510.01395591161,512.376561150532,507.651350672687
2052,513.136956036887,515.492809475913,510.781102597861
2053,516.22995616207,518.579057801199,513.880854522942
2054,519.291956287324,521.634306126556,516.949606448092
2055,522.325956412694,524.661554452029,519.990358373359
2056,525.33195653787,527.660802777308,523.003110298432
2057,528.309956663165,530.632051102706,525.987862223623
2058,531.260956788362,533.576299428006,528.945614148718
2059,534.185956913595,536.494547753343,531.877366073848
2060,537.084957078076,539.38468276816,534.785231387991
2061,539.957957477835,542.236137919664,537.679777036006
2062,542.794957916799,545.049479760606,540.540436072992
2063,545.586958355618,547.817821601403,543.356095109833
2064,548.334958794584,550.542163442348,546.12775414682
2065,551.038959233403,553.222505283145,548.85541318366
2066,553.699959672475,555.859847124195,551.540072220754
2067,556.318960111236,558.455188964935,554.182731257538
2068,558.894960550258,561.007530805935,556.782390294581
2069,561.430960989193,563.519872646848,559.342049331537
2070,563.924961465344,565.988200763755,561.861722166933
2071,566.379962165773,568.405446537604,564.354477793942
2072,568.771962903422,570.757678587451,566.786247219394
2073,571.082963641206,573.028910637431,569.13701664498
2074,573.313964379134,575.220142687557,571.407786070711
2075,575.465965116848,577.332374737468,573.599555496227
2076,577.539965854603,579.366606787421,575.713324921785
2077,579.536966592404,581.323838837419,577.750094347389
2078,581.457967330177,583.20507088739,579.710863772965
2079,583.303968068003,585.011302937412,581.596633198593
2080,585.073968836336,586.739892565273,583.4080451074
2081,586.769969787355,588.384627659796,585.155311914914
2082,588.377970768798,589.939720332074,586.816221205522
2083,589.885971750321,591.394813004432,588.377130496211
2084,591.295972731935,592.75190567688,589.84003978699
2085,592.608973713523,594.011998349302,591.205949077743
2086,593.82497469509,595.175091021705,592.474858368476
2087,594.94497567652,596.242183693969,593.647767659072
2088,595.969976657949,597.214276366232,594.725676949665
2089,596.899977639653,598.09136903877,595.708586240535
2090,597.734978577194,598.87582954905,596.594127605337
2091,598.47697925128,599.581497087303,597.372461415257
2092,599.149979881328,600.220532463422,598.079427299234
2093,599.77598051154,600.812567839705,598.739393183375
2094,600.354981141514,601.35760321575,599.352359067278
2095,600.885981771751,601.854638592058,599.917324951443
2096,601.365982401798,602.300673968176,600.43129083542
2097,601.796983031847,602.697709344296,600.896256719398
2098,602.176983661974,603.043744720494,601.310222603454
2099,602.504984292248,603.337780096839,601.672188487657
2100,602.781984855873,603.584393769486,601.97957594226
2101,603.004985021242,603.798479749209,602.211490293274
2102,603.217985119948,604.006159190989,602.429811048908
2103,603.45898521861,604.241841160352,602.676129276869
2104,603.723985317271,604.501523129714,602.946447504828
2105,604.011985415978,604.784202571494,603.239768260462
2106,604.321985514924,605.088869375373,603.555101654476
2107,604.649985613673,605.411546289567,603.888424937779
2108,604.995985712665,605.752210565864,604.239760859466
2109,605.356985811655,606.107874842159,604.606096781151
2110,605.733985910333,606.479556811538,604.988415009127
2111,606.12398600874,606.864251418786,605.383720598693
2112,606.52698610771,607.261915695062,605.792056520358
2113,606.941986206954,607.671567333471,606.212405080437
2114,607.36698630538,608.091261940738,606.642710670022
2115,607.802986403756,608.521959075583,607.084013731929
2116,608.247986502647,608.961628407035,607.534344598259
2117,608.700986601402,609.409305321235,607.992667881568
2118,609.162986700301,609.865974652695,608.459998747907
2119,609.632986798824,610.330664204803,608.935309392844
2120,610.109986898042,610.802315843187,609.417657952897
2121,610.592986997074,611.279977591896,609.905996402253
2122,611.081987095782,611.763657033677,610.400317157887
2123,611.57798719444,612.254339003037,610.901635385844
2124,612.078987293149,612.750018444818,611.40795614148
2125,612.584987392048,613.250687776279,611.919287007818
2126,613.094987490509,613.755379855953,612.434595125066
2127,613.610987589404,614.266049187408,612.955925991399
2128,614.129987688167,614.779726101617,613.480249274717
2129,614.653987787155,615.29839037791,614.0095851964
2130,615.180987886107,615.820057181795,614.541918590418
2131,615.711987984577,616.345749261478,615.078226707676
2132,616.245988083368,616.874423648086,615.617552518649
2133,616.78398818162,617.407128365691,616.160847997549
2134,617.32398828078,617.941782531644,616.706194029915
2135,617.866988379824,618.479444280366,617.254532479283
2136,618.412988478619,619.020118666978,617.80585829026
2137,618.960988577758,619.562775360538,618.359201794978
2138,619.511988675943,620.108482605704,618.915494746182
2139,620.063988774502,620.65516963022,619.472807918784
2140,620.618988873207,621.204849071999,620.033128674416
2141,621.175988972199,621.756513348295,620.595464596102
2142,621.733989071102,622.309182679759,621.158795462444
2143,622.294989169335,622.864887397345,621.725090941324
2144,622.856989268476,623.421544090908,622.292434446044
2145,623.419989367213,623.97922100509,622.860757729335
2146,623.984989465873,624.538902974451,623.431075957295
2147,624.55098956464,625.099579888663,624.002399240616
2148,625.118989663906,625.662228999467,624.575750328346
2149,625.686989762882,626.224893275748,625.149086250017
2150,626.256989861355,626.789585355433,625.724394367276
2151,626.827989960262,627.355254686902,626.300725233623
2152,627.393990058926,627.915936656267,626.872043461585
2153,627.948990157338,628.46563126352,627.432349051156
2154,628.493990256232,629.005300594975,627.982679917489
2155,629.026990355008,629.532977509196,628.52100320082
2156,629.550990453934,630.051644313056,629.050336594813
2157,630.063990552695,630.559321227262,629.568659878128
2158,630.566990651625,631.056988031125,630.076993272125
2159,631.060990750328,631.545667472901,630.576314027755
2160,631.543990848991,632.023349442265,631.064632255717
2161,632.01699094771,632.491028884057,631.542953011362
2162,632.480991046662,632.949695687942,632.012286405382
2163,632.9339911454,633.397372602125,632.470609688674
2164,633.377991244352,633.836039406011,632.919943082693
2165,633.81299134309,634.265716320194,633.360266365986
2166,634.237991442015,634.68538565168,633.790597232351
2167,634.652991540461,635.095077731339,634.210905349583
2168,635.058991639424,635.495744535235,634.622238743613
2169,635.454991738418,635.886408811534,635.023574665301
2170,635.841991837103,636.268088253293,635.415895420914
2171,636.218991935766,636.639770222657,635.798213648875
2172,636.586992034403,637.002452191995,636.171531876811
2173,636.944992133065,637.355134161358,636.534850104772
2174,637.293992231847,637.698811075585,636.889173388109
2175,637.633992331105,638.03346018638,637.23452447583
2176,637.963992430089,638.35812446267,637.569860397509
2177,638.284992528567,638.67381654236,637.896168514773
2178,638.596992627461,638.980485873816,638.213499381106
2179,638.898992726177,639.277165315605,638.520820136749
2180,639.1919928249,639.564844757401,638.819140892399
2181,639.474992923832,639.842511561267,639.107474286399
2182,639.749993022523,640.11219100303,639.387795042015
2183,640.01499312118,640.371872972388,639.658113269972
2184,640.269993219901,640.621552414182,639.918434025619
2185,640.516993318852,640.863219218066,640.170767419637
2186,640.753993417564,641.094898659852,640.413088175276
2187,640.981993516251,641.317578101612,640.64640893089
2188,641.199993615267,641.530239850305,640.869747380229
2189,641.40999371452,641.734891488723,641.085095940317
2190,641.60999381298,641.929583568397,641.290404057564
2191,641.800993911602,642.115268065347,641.486719757856
2192,641.981994010344,642.290944979534,641.673043041153
2193,642.154994109538,642.458599145522,641.851389073554
2194,642.317994207985,642.616291225182,642.019697190789
2195,642.471994306668,642.764973194566,642.17901541877
2196,642.616994405598,642.904639998429,642.329348812767
2197,642.751994504293,643.034319440198,642.469669568389
2198,642.878994602956,643.156001409562,642.601987796351
2199,642.995994701693,643.267680851372,642.724308552015
2200,643.103994800569,643.370350182809,642.83763941833
2201,643.20299489904,643.464042262493,642.941947535588
2202,643.291994997982,643.547709066368,643.036280929596
2203,643.372995097018,643.623370815081,643.122619378955
2204,643.443995196054,643.689032563794,643.198957828314
2205,643.505995294995,643.745699367668,643.266291222321
2206,643.558995393515,643.793388919774,643.324601867257
2207,643.602995492597,643.832048140905,643.373942844289
2208,643.637995590789,643.861755386077,643.4142357955
2209,643.662995689449,643.881437355439,643.444554023459
2210,643.679995788625,643.893091521408,643.466900055842
2211,643.686995887144,643.894781073512,643.479210700775
2212,643.685995985945,643.888455460131,643.48353651176
2213,643.674996084185,643.872160177723,643.477831990646
2214,643.654996183314,643.846816871273,643.463175495354
2215,643.625996282114,643.812491257891,643.439501306337
2216,643.587996381102,643.769155534184,643.40683722802
2217,643.539996480044,643.715822338059,643.364170622029
2218,643.483996578517,643.654514417745,643.313478739289
2219,643.418996677365,643.584186276782,643.253807077948
2220,643.344996775838,643.504878356468,643.185115195207
2221,643.260996874779,643.415545160342,643.106448589216
2222,643.16899697372,643.318211964217,643.019781983224
2223,643.06699707224,643.210901516322,642.923092628158
2224,642.956997171369,643.095558209872,642.818436132866
2225,642.837997269889,642.971247761977,642.704746777801
2226,642.708997368736,642.836919621013,642.581075116459
2227,642.571997467209,642.694611700699,642.449383233719
2228,642.424997566104,642.542281032155,642.307714100053
2229,642.269997664858,642.381957946355,642.158037383362
2230,642.105997763847,642.212622222649,641.999373305045
2231,641.932997862835,642.034286498942,641.831709226729
2232,641.749997961589,641.845963413141,641.654032510037
2233,641.558998060531,641.649630217016,641.468365904046
2234,641.358998159285,641.444307131215,641.273689187355
2235,641.14999825818,641.229976462671,641.070020053688
2236,640.931998356559,641.006673597519,640.857323115598
2237,640.705998454984,640.775368204786,640.636628705183
2238,640.46999855416,640.534022370755,640.405974737566
2239,640.225998652915,640.284699284955,640.167298020875
2240,639.972998751575,640.026381254316,639.919616248834
2241,639.710998850282,639.759060696097,639.662937004468
2242,639.43999894927,639.482724972389,639.397272926151
2243,639.159999048259,639.197389248684,639.122608847835
2244,638.871999147059,638.904063635301,638.839934658817
2245,638.573999246237,638.600717801272,638.547280691202
2246,638.267999344663,638.289412408539,638.246586280787
2247,637.95399944304,637.970109543385,637.937889342695
2248,637.629999541935,637.640778874841,637.619220209029
2249,637.297999640691,637.303455789042,637.29254349234
2250,636.9569997273,636.957787346747,636.956212107853
2251,636.606999739678,636.607120065334,636.606879414021
2252,636.254999739677,636.255120065333,636.254879414021
2253,635.906999739679,635.907120065336,635.906879414023
2254,635.559999739679,635.560120065336,635.559879414023
2255,635.215999739676,635.216120065332,635.215879414019
2256,634.872999739679,634.873120065335,634.872879414022
2257,634.531999739677,634.532120065334,634.531879414021
2258,634.192999739679,634.193120065336,634.192879414023
2259,633.85499973968,633.855120065337,633.854879414024
2260,633.51799973968,633.518120065336,633.517879414024
2261,633.182999739677,633.183120065334,633.182879414021
2262,632.848999739675,632.849120065331,632.848879414018
2263,632.516999739679,632.517120065335,632.516879414023
2264,632.185999739676,632.186120065333,632.18587941402
2265,631.85699973968,631.857120065337,631.856879414024
2266,631.528999739672,631.529120065329,631.528879414016
2267,631.202999739679,631.203120065336,631.202879414023
2268,630.878999739674,630.87912006533,630.878879414017
2269,630.555999739672,630.556120065328,630.555879414016
2270,630.233999739678,630.234120065334,630.233879414022
2271,629.914999739677,629.915120065334,629.914879414021
2272,629.596999739684,629.597120065341,629.596879414028
2273,629.279999739684,629.28012006534,629.279879414028
2274,628.965999739675,628.966120065332,628.965879414019
2275,628.652999739679,628.653120065335,628.652879414022
2276,628.34099973968,628.341120065337,628.340879414024
2277,628.030999739679,628.031120065335,628.030879414022
2278,627.722999739679,627.723120065335,627.722879414022
2279,627.416999739676,627.417120065332,627.416879414019
2280,627.11199973967,627.112120065327,627.111879414014
2281,626.807999739674,626.80812006533,626.807879414017
2282,626.50599973968,626.506120065336,626.505879414023
2283,626.20599973968,626.206120065337,626.205879414024
2284,625.906999739676,625.907120065332,625.906879414019
2285,625.609999739672,625.610120065329,625.609879414016
2286,625.31399973967,625.314120065327,625.313879414014
2287,625.019999739678,625.020120065334,625.019879414022
2288,624.726999739685,624.727120065341,624.726879414029
2289,624.435999739673,624.43612006533,624.435879414017
2290,624.145999739679,624.146120065335,624.145879414022
2291,623.856999739675,623.857120065332,623.856879414019
2292,623.56999973968,623.570120065336,623.569879414024
2293,623.283999739673,623.284120065329,623.283879414016
2294,622.998999739683,622.999120065339,622.998879414027
2295,622.715999739674,622.71612006533,622.715879414017
2296,622.433999739678,622.434120065335,622.433879414022
2297,622.152999739684,622.15312006534,622.152879414027
2298,621.872999739683,621.873120065339,621.872879414026
2299,621.59499973967,621.595120065326,621.594879414013
2300,621.317999739677,621.318120065333,621.317879414021
2301,621.041999739679,621.042120065336,621.041879414023
2302,620.766999739679,620.767120065336,620.766879414023
2303,620.493999739678,620.494120065335,620.493879414022
2304,620.220999739677,620.221120065334,620.220879414021
2305,619.949999739679,619.950120065336,619.949879414023
2306,619.679999739677,619.680120065333,619.67987941402
2307,619.409999739679,619.410120065335,619.409879414022
2308,619.141999739677,619.142120065334,619.141879414021
2309,618.874999739678,618.875120065335,618.874879414022
2310,618.608999739677,618.609120065333,618.60887941402
2311,618.344999739681,618.345120065337,618.344879414025
2312,618.080999739678,618.081120065334,618.080879414022
2313,617.817999739675,617.818120065332,617.817879414019
2314,617.555999739676,617.556120065332,617.555879414019
2315,617.294999739677,617.295120065334,617.294879414021
2316,617.03499973968,617.035120065336,617.034879414023
2317,616.775999739679,616.776120065335,616.775879414022
2318,616.517999739676,616.518120065332,616.517879414019
2319,616.260999739674,616.26112006533,616.260879414017
2320,616.003999739677,616.004120065333,616.003879414021
2321,615.748999739679,615.749120065335,615.748879414022
2322,615.494999739679,615.495120065335,615.494879414022
2323,615.24099973968,615.241120065336,615.240879414023
2324,614.987999739679,614.988120065335,614.987879414022
2325,614.735999739676,614.736120065332,614.735879414019
2326,614.484999739683,614.485120065339,614.484879414026
2327,614.234999739684,614.23512006534,614.234879414027
2328,613.985999739677,613.986120065334,613.985879414021
2329,613.736999739678,613.737120065334,613.736879414022
2330,613.489999739672,613.490120065328,613.489879414016
2331,613.242999739673,613.24312006533,613.242879414017
2332,612.996999739679,612.997120065336,612.996879414023
2333,612.751999739671,612.752120065327,612.751879414015
2334,612.506999739681,612.507120065337,612.506879414024
2335,612.262999739675,612.263120065332,612.262879414019
2336,612.019999739679,612.020120065336,612.019879414023
2337,611.777999739673,611.77812006533,611.777879414017
2338,611.536999739677,611.537120065334,611.536879414021
2339,611.295999739681,611.296120065338,611.295879414025
2340,611.055999739683,611.056120065339,611.055879414026
2341,610.815999739681,610.816120065337,610.815879414025
2342,610.577999739676,610.578120065333,610.57787941402
2343,610.339999739679,610.340120065335,610.339879414023
2344,610.102999739672,610.103120065329,610.102879414016
2345,609.865999739682,609.866120065338,609.865879414026
2346,609.629999739682,609.630120065338,609.629879414026
2347,609.394999739675,609.395120065332,609.394879414019
2348,609.160999739677,609.161120065333,609.16087941402
2349,608.926999739684,608.92712006534,608.926879414027
2350,608.693999739683,608.69412006534,608.693879414027
2351,608.461999739676,608.462120065333,608.46187941402
2352,608.229999739675,608.230120065331,608.229879414018
2353,607.998999739682,607.999120065339,607.998879414026
2354,607.767999739683,607.768120065339,607.767879414026
2355,607.537999739671,607.538120065328,607.537879414015
2356,607.308999739679,607.309120065336,607.308879414023
2357,607.079999739676,607.080120065332,607.07987941402
2358,606.851999739681,606.852120065338,606.851879414025
2359,606.624999739684,606.62512006534,606.624879414028
2360,606.397999739682,606.398120065339,606.397879414026
2361,606.170999739676,606.171120065333,606.17087941402
2362,605.945999739671,605.946120065327,605.945879414015
2363,605.72099973968,605.721120065336,605.720879414023
2364,605.495999739674,605.49612006533,605.495879414018
2365,605.271999739682,605.272120065339,605.271879414026
2366,605.048999739667,605.049120065323,605.04887941401
2367,604.82599973968,604.826120065337,604.825879414024
2368,604.603999739669,604.604120065326,604.603879414013
2369,604.381999739667,604.382120065323,604.38187941401
2370,604.160999739678,604.161120065334,604.160879414021
2371,603.940999739677,603.941120065333,603.94087941402
2372,603.720999739689,603.721120065345,603.720879414032
2373,603.500999739688,603.501120065344,603.500879414032
2374,603.281999739674,603.28212006533,603.281879414017
2375,603.06399973968,603.064120065336,603.063879414023
2376,602.845999739682,602.846120065338,602.845879414025
2377,602.627999739679,602.628120065336,602.627879414023
2378,602.410999739679,602.411120065336,602.410879414023
2379,602.194999739675,602.195120065331,602.194879414018
2380,601.978999739667,601.979120065323,601.97887941401
2381,601.763999739671,601.764120065328,601.763879414015
2382,601.54899973968,601.549120065337,601.548879414024
2383,601.333999739682,601.334120065338,601.333879414025
2384,601.119999739674,601.120120065331,601.119879414018
2385,600.90699973967,600.907120065326,600.906879414013
2386,600.693999739667,600.694120065323,600.69387941401
2387,600.481999739677,600.482120065334,600.481879414021
2388,600.269999739689,600.270120065345,600.269879414032
2389,600.057999739672,600.058120065328,600.057879414015
2390,599.846999739679,599.847120065335,599.846879414023
2391,599.635999739674,599.636120065331,599.635879414018
2392,599.425999739681,599.426120065337,599.425879414024
2393,599.215999739671,599.216120065327,599.215879414014
2394,599.006999739685,599.007120065341,599.006879414028
2395,598.797999739672,598.798120065329,598.797879414016
2396,598.589999739679,598.590120065335,598.589879414022
2397,598.381999739686,598.382120065342,598.381879414029
2398,598.173999739684,598.17412006534,598.173879414028
2399,597.966999739667,597.967120065323,597.966879414011
2400,597.759999739676,597.760120065332,597.75987941402
2401,597.55399973968,597.554120065336,597.553879414024
2402,597.347999739679,597.348120065335,597.347879414023
2403,597.141999739677,597.142120065334,597.141879414021
2404,596.936999739679,596.937120065335,596.936879414022
2405,596.731999739679,596.732120065335,596.731879414022
2406,596.52799973968,596.528120065337,596.527879414024
2407,596.323999739678,596.324120065334,596.323879414021
2408,596.120999739679,596.121120065335,596.120879414022
2409,595.916999739678,595.917120065334,595.916879414022
2410,595.714999739676,595.715120065333,595.71487941402
2411,595.511999739677,595.512120065334,595.511879414021
2412,595.309999739679,595.310120065335,595.309879414023
2413,595.107999739678,595.108120065334,595.107879414021
2414,594.906999739677,594.907120065334,594.906879414021
2415,594.70599973968,594.706120065336,594.705879414023
2416,594.504999739677,594.505120065334,594.504879414021
2417,594.30499973968,594.305120065336,594.304879414023
2418,594.104999739678,594.105120065335,594.104879414022
2419,593.904999739679,593.905120065335,593.904879414022
2420,593.705999739677,593.706120065334,593.705879414021
2421,593.506999739675,593.507120065331,593.506879414019
2422,593.307999739681,593.308120065338,593.307879414025
2423,593.108999739679,593.109120065336,593.108879414023
2424,592.910999739675,592.911120065331,592.910879414019
2425,592.71399973968,592.714120065337,592.713879414024
2426,592.515999739677,592.516120065333,592.515879414021
2427,592.319999739674,592.32012006533,592.319879414017
2428,592.123999739681,592.124120065338,592.123879414025
2429,591.92799973968,591.928120065336,591.927879414023
2430,591.73199973968,591.732120065337,591.731879414024
2431,591.537999739675,591.538120065332,591.537879414019
2432,591.342999739674,591.343120065331,591.342879414018
2433,591.148999739679,591.149120065336,591.148879414023
2434,590.95599973968,590.956120065336,590.955879414024
2435,590.762999739676,590.763120065332,590.762879414019
2436,590.569999739673,590.57012006533,590.569879414017
2437,590.377999739674,590.37812006533,590.377879414018
2438,590.186999739675,590.187120065332,590.186879414019
2439,589.994999739682,589.995120065338,589.994879414026
2440,589.804999739681,589.805120065338,589.804879414025
2441,589.61399973968,589.614120065336,589.613879414023
2442,589.424999739683,589.425120065339,589.424879414027
2443,589.234999739682,589.235120065338,589.234879414025
2444,589.045999739673,589.046120065329,589.045879414016
2445,588.857999739681,588.858120065337,588.857879414025
2446,588.668999739673,588.669120065329,588.668879414016
2447,588.481999739682,588.482120065338,588.481879414026
2448,588.293999739683,588.29412006534,588.293879414027
2449,588.107999739679,588.108120065336,588.107879414023
2450,587.920999739682,587.921120065339,587.920879414026
2451,587.734999739683,587.735120065339,587.734879414027
2452,587.549999739674,587.55012006533,587.549879414018
2453,587.363999739673,587.364120065329,587.363879414016
