year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.948722782398,401.677674227108,398.219771337687
2016,403.11696266076,405.115764195655,401.118161125866
2017,405.799961417569,407.865775432419,403.734147402718
2018,408.78296074803,410.884866435676,406.681055060384
2019,411.840959903541,413.988387160304,409.693532646779
2020,414.981959024069,417.176791691091,412.787126357046
2021,418.204957934915,420.458499059061,415.95141681077
2022,421.529956810826,423.844090233238,419.215823388414
2023,424.968955686729,427.343681407407,422.59422996605
2024,428.519954562646,430.955272581591,426.084636543701
2025,432.181953438579,434.67786375579,429.686043121367
2026,435.953952314432,438.51045492991,433.397449698954
2027,439.834951190337,442.452046104082,437.217856276593
2028,443.823950066299,446.50163727831,441.146262854288
2029,447.923948942206,450.662228452483,445.185669431928
2030,452.13194777209,454.933303480664,449.330592063516
2031,456.451946325427,459.331281632473,453.57261101838
2032,460.893944832633,463.853743638182,457.934146027084
2033,465.469943339982,468.510205644033,462.429681035931
2034,470.178941847154,473.299667649708,467.058216044601
2035,475.020940354474,478.222129655529,471.819751053418
2036,479.994938861704,483.276591661262,476.713286062146
2037,485.101937369028,488.464053667088,481.739821070968
2038,490.343935876256,493.786515672819,486.901356079694
2039,495.719934383478,499.242977678543,492.196891088413
2040,501.232933304657,504.814127967635,497.65173864168
2041,506.882934709436,510.388407956791,503.377461462081
2042,512.472936528176,515.880376229318,509.065496827034
2043,517.817938346829,521.127344501758,514.508532191899
2044,522.936940165598,526.148312774315,519.725567556881
2045,527.83894198417,530.952281046675,524.725602921666
2046,532.531943802859,535.547249319151,529.516638286567
2047,537.022945621629,539.940217591709,534.10567365155
2048,541.315947440295,544.135185864162,538.496709016429
2049,545.413949258901,548.135154136555,542.692744381247
2050,549.318951307484,551.92973043716,546.708172177807
2051,553.03495473553,555.460954906639,550.608954564422
2052,556.465958393413,558.694787404189,554.237129382637
2053,559.523962051178,561.555619901621,557.492304200735
2054,562.216965709032,564.051452399142,560.382479018921
2055,564.550969367031,566.188284896808,562.913653837253
2056,566.529973024787,567.970117394232,565.089828655342
2057,568.159976682691,569.402949891803,566.917003473578
2058,569.442980340476,570.488782389255,568.397178291697
2059,570.383983998305,571.232614886752,569.535353109859
2060,570.985987455745,571.648251529718,570.323723381772
2061,571.2519897106,571.792713045255,570.711266375944
2062,571.255991765012,571.685978706209,570.826004823814
2063,571.064993819259,571.384244366998,570.745743271519
2064,570.676995873672,570.885510027953,570.46848171939
2065,570.087997927921,570.185775688745,569.990220167098
2066,569.298999982447,569.286041349813,569.311958615082
2067,568.309002036637,568.185307010544,568.43269706273
2068,567.117004091105,566.882572671554,567.351435510655
2069,565.724006145478,565.37883833247,566.069173958487
2070,564.130008038705,563.682782442955,564.577233634455
2071,562.337008966043,561.839797251851,562.834220680235
2072,560.428009732245,559.889490510328,560.966528954162
2073,558.483010498577,557.903183768935,559.06283722822
2074,556.495011265045,555.873877027677,557.116145502413
2075,554.462012031311,553.799570286218,555.124453776404
2076,552.380012797616,551.676263544798,553.083762050435
2077,550.247013563962,549.501956803418,550.992070324506
2078,548.062014330284,547.275650062015,548.848378598553
2079,545.823015096649,544.995343320654,546.650686872643
2080,543.528015803764,542.662231947354,544.393799660174
2081,541.178016155082,540.293292782114,542.062739528049
2082,538.804016447085,537.90354898487,539.7044839093
2083,536.439016739153,535.522805187691,537.355228290615
2084,534.078017031288,533.146061390578,535.009972671998
2085,531.719017323406,530.771317593448,532.666717053363
2086,529.361017615505,528.3975737963,530.32446143471
2087,527.003017907506,526.023829999053,527.982205815958
2088,524.642018199507,523.647086201807,525.636950197207
2089,522.277018491701,521.266342404754,523.287694578649
2090,519.907018758684,518.881948841363,520.932088676005
2091,517.531018875446,516.499656680998,518.562381069895
2092,515.160018967086,514.123714754384,516.196323179788
2093,512.805019058834,511.763772827878,513.846265289789
2094,510.464019150428,509.417830901219,511.510207399637
2095,508.135019242188,507.083888974726,509.186149509651
2096,505.818019333829,504.761947048114,506.874091619545
2097,503.511019425474,502.450005121505,504.572033729443
2098,501.214019517166,500.148063194944,502.279975839389
2099,498.925019608944,497.854121268468,499.99591794942
2100,496.644019689094,495.568797082647,497.719242295542
2101,494.370019700574,493.294179341845,495.445860059304
2102,492.115019700574,491.039179341844,493.190860059303
2103,489.890019700566,488.814179341837,490.965860059296
2104,487.693019700557,486.617179341828,488.768860059286
2105,485.524019700574,484.448179341845,486.599860059304
2106,483.380019700553,482.304179341824,484.455860059283
2107,481.262019700569,480.18617934184,482.337860059299
2108,479.169019700558,478.093179341829,480.244860059288
2109,477.099019700566,476.023179341837,478.174860059296
2110,475.052019700553,473.976179341824,476.127860059283
2111,473.027019700586,471.951179341856,474.102860059315
2112,471.024019700563,469.948179341834,472.099860059292
2113,469.04101970054,467.965179341811,470.11686005927
2114,467.079019700545,466.003179341815,468.154860059274
2115,465.136019700557,464.060179341827,466.211860059286
2116,463.212019700574,462.136179341845,464.287860059304
2117,461.30701970057,460.231179341841,462.3828600593
2118,459.420019700545,458.344179341816,460.495860059274
2119,457.550019700531,456.474179341801,458.62586005926
2120,455.697019700555,454.621179341826,456.772860059284
2121,453.861019700569,452.785179341839,454.936860059298
2122,452.041019700568,450.965179341839,453.116860059298
2123,450.236019700576,449.160179341847,451.311860059305
2124,448.447019700569,447.37117934184,449.522860059298
2125,446.672019700548,445.596179341819,447.747860059278
2126,444.912019700602,443.836179341873,445.987860059331
2127,443.167019700606,442.091179341877,444.242860059335
2128,441.437019700559,440.36117934183,442.512860059288
2129,439.721019700563,438.645179341833,440.796860059292
2130,438.019019700517,436.943179341787,439.094860059246
2131,436.331019700526,435.255179341797,437.406860059256
2132,434.657019700575,433.581179341846,435.732860059305
2133,432.99601970051,431.920179341781,434.07186005924
2134,431.348019700585,430.272179341855,432.423860059314
2135,429.713019700544,428.637179341814,430.788860059273
2136,428.090019700571,427.014179341842,429.1658600593
2137,426.480019700528,425.404179341799,427.555860059258
