year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.948792080474,401.677743711807,398.219840449141
2016,403.116962685106,405.114451875547,401.119473494666
2017,405.793961600165,407.849933031608,403.737990168723
2018,408.759961040184,410.846118594378,406.673803485991
2019,411.789960293081,413.916390038573,409.663530547588
2020,414.890959498126,417.060238857183,412.721680139069
2021,418.064958416287,420.2925519225,415.837364910075
2022,421.334957286646,423.623442362279,419.046472211012
2023,424.720956156997,427.070332802052,422.371579511942
2024,428.219955027362,430.630223241838,425.809686812887
2025,431.829953897743,434.301113681639,429.358794113846
2026,435.549952768044,438.082004121362,433.017901414727
2027,439.377951638398,441.970894561136,436.785008715659
2028,443.314950508807,445.968785000967,440.661116016648
2029,447.360949379162,450.075675440742,444.646223317581
2030,451.514948204723,454.2929835119,448.736912897545
2031,455.778946761107,458.634797370938,452.923096151276
2032,460.16394527259,463.10002886125,457.22786168393
2033,464.681943784216,467.698260351705,461.665627216727
2034,469.330942295665,472.427491841984,466.234392749346
2035,474.111940807261,477.288723332408,470.935158282113
2036,479.024939318767,482.281954822744,475.76792381479
2037,484.071937830367,487.409186313174,480.734689347561
2038,489.251936341873,492.669417803508,485.834454880237
2039,494.566934853371,498.064649293836,491.069220412906
2040,500.018933348844,503.597746227963,496.440120469724
2041,505.607931748015,509.273035824739,501.942827671291
2042,511.341930131163,515.094190865317,507.58966939701
2043,517.227928514226,521.067345905809,513.388511122642
2044,523.266926897405,527.193500946418,519.340352848391
2045,529.459925280386,533.473655986829,525.446194573943
2046,535.808923663483,539.909811027356,531.70803629961
2047,542.313922046664,546.501966067966,538.125878025361
2048,548.976920429738,553.252121108471,544.701719751005
2049,555.799918812749,560.162276148912,551.437561476587
2050,562.783917155104,567.235627151897,558.33220715831
2051,569.929915253115,574.484153929745,565.375676576486
2052,577.257913310324,581.916876669991,572.598949950656
2053,584.7839113674,589.547599410106,580.020223324695
2054,592.506909424575,597.375322150317,587.638496698832
2055,600.428907481918,605.402044890699,595.455770073138
2056,608.54990553898,613.627767630798,603.472043447162
2057,616.869903596216,622.052490371072,611.68731682136
2058,625.390901653305,630.678213111199,620.103590195412
2059,634.113899710448,639.505935851379,628.721863569517
2060,643.040897792328,648.536328578446,637.545467006209
2061,652.171896022323,657.762741226527,646.581050818119
2062,661.506894276992,667.191823861431,655.821964692553
2063,671.044892531424,676.823906496098,665.26587856675
2064,680.788890786098,686.661989131007,674.915792441189
2065,690.738889040525,696.706071765669,684.77170631538
2066,700.898887295385,706.960154400765,694.837620190006
2067,711.268885549711,717.424237035325,705.113534064096
2068,721.85088380449,728.10031967034,715.601447938641
2069,732.64788205912,738.991402305205,726.304361813035
2070,743.661880364496,750.096735437084,737.227025291908
2071,754.892878976157,761.40257155286,748.383186399456
2072,766.322877638561,772.904658165645,759.741097111477
2073,777.929876301217,784.583744778683,771.276007823751
2074,789.718874964162,796.444831392011,782.992918536314
2075,801.690873626683,808.488918004913,794.892829248452
2076,813.847872289286,820.718004617899,806.977739960674
2077,826.192870951985,833.13509123098,819.25065067299
2078,838.726869614624,845.741177844001,831.712561385247
2079,851.451868277378,858.538264457138,844.365472097619
2080,864.368867091006,871.519223127808,857.218511054204
2081,877.479866809076,884.645414142883,870.314319475269
2082,890.708866677827,897.8814772153,883.536256140354
2083,903.980866546757,911.160540287895,896.801192805618
2084,917.300866415902,924.487603360706,910.114129471097
2085,930.670866284984,937.864666433455,923.477066136514
2086,944.091866154028,951.292729506165,936.891002801892
2087,957.566866022724,964.774792578526,950.358939466922
2088,971.09586589141,978.310855650877,963.880876131942
2089,984.680865760805,991.902918723938,977.458812797672
2090,998.320865687809,1005.54684355169,991.094887823928
2091,1012.01986596444,1019.23093891157,1004.80879301731
2092,1025.739866299,1032.93289602645,1018.54683657154
2093,1039.44986663401,1046.62485314179,1032.27488012622
2094,1053.14986696835,1060.30681025646,1045.99292368023
2095,1066.84986730344,1073.98876737188,1059.71096723499
2096,1080.52986763798,1087.65072448676,1073.40901078921
2097,1094.20986797252,1101.31268160163,1087.10705434342
2098,1107.88986830729,1114.97463871673,1100.80509789786
2099,1121.54986864252,1128.61659583228,1114.48314145276
2100,1135.20986904417,1142.25493168164,1128.1648064067
2101,1148.85986984901,1155.86154246605,1141.85819723197
2102,1162.46987072087,1169.42454715062,1155.51519429112
2103,1176.02987159263,1182.93755941798,1169.12218376729
2104,1189.52987246399,1196.39059443358,1182.66915049439
2105,1202.97987333593,1209.79358900772,1196.16615766414
2106,1216.36987420815,1223.13658105451,1209.60316736178
2107,1229.69987507972,1236.41959584931,1222.98015431013
2108,1242.96987595193,1249.64258536846,1236.2971665354
2109,1256.18987682271,1262.81564565977,1249.56410798565
2110,1269.34987769469,1275.92864781683,1262.77110757255
2111,1282.4498785664,1288.98164997363,1275.91810715917
2112,1295.48987943859,1301.97464454801,1289.00511432916
2113,1308.46988031025,1314.90766692579,1302.03209369472
2114,1321.38988118171,1327.78069183098,1314.99907053244
2115,1334.2498820534,1340.59370157064,1327.90606253616
2116,1347.04988292515,1353.3467062551,1340.7530595952
2117,1359.77988379727,1366.02969830179,1353.53006929275
2118,1372.43988466924,1378.6427055141,1366.23706382437
2119,1385.03988554081,1391.19573041941,1378.88404066221
2120,1397.56988641224,1403.67875026932,1391.46102255516
2121,1410.03988728443,1416.10173220557,1403.97804236329
2122,1422.42988815606,1428.44474952805,1416.41502678407
2123,1434.75988902763,1440.72776685048,1428.79201120479
2124,1447.00988989874,1452.93081450397,1441.08896529351
2125,1459.18989077106,1465.06380149561,1453.31598004651
2126,1471.28989164239,1477.11681629016,1465.46296699462
2127,1483.31989251441,1489.09981086438,1477.53997416444
2128,1495.27989338652,1501.01281807683,1489.54696869621
2129,1507.15989425803,1512.84584045444,1501.47394806161
2130,1518.95989513004,1524.59885272205,1513.32093753802
2131,1530.6798960016,1536.27187004446,1525.08792195873
2132,1542.31989687352,1547.86485450807,1536.77493923896
2133,1553.87989774528,1559.37788699645,1548.38190849411
2134,1565.35989861652,1570.81089926329,1559.90889796975
2135,1576.75989948865,1582.16390394813,1571.35589502916
2136,1588.07990036051,1593.4368985222,1582.72290219883
2137,1599.30990123236,1604.61991837253,1593.9998840922
2138,1610.4499021039,1615.71293063966,1605.18687356815
2139,1621.50990297524,1626.7259530171,1616.29385293337
2140,1632.48990384694,1637.65896275677,1627.3208449371
2141,1643.37990471888,1648.50196744142,1638.25784199633
2142,1654.1699055911,1659.24496454347,1649.09484663873
2143,1664.87990646225,1669.90799955887,1659.85181336563
2144,1675.50990733435,1680.49100929894,1670.52880536976
2145,1686.03990820593,1690.97400387272,1681.10581253914
2146,1696.47990907751,1701.36702372278,1691.59279443224
2147,1706.81990994955,1711.66003599042,1701.97978390869
2148,1717.07991082104,1721.87305584039,1712.2867658017
2149,1727.23991169277,1731.98605041432,1722.49377297123
2150,1737.31991256463,1742.01905509888,1732.62077003037
2151,1747.28991343677,1751.94206231136,1742.63776456217
2152,1757.16991430858,1761.77507457877,1752.56475403838
2153,1766.94991517947,1771.50811212154,1762.39171823741
2154,1776.63991605122,1781.15112186126,1772.12871024119
2155,1786.21991692385,1790.68411390846,1781.75571993924
2156,1795.69991779528,1800.11712112023,1791.28271447033
2157,1805.07991866698,1809.45014349804,1800.70969383593
2158,1814.35991953847,1818.6831532375,1810.03668583945
2159,1823.53992041017,1827.81616044954,1819.26368037081
2160,1832.60992128206,1836.83916766177,1828.38067490236
2161,1841.57992215414,1845.76217487419,1837.3976694341
2162,1850.45992302617,1854.59518461418,1846.32466143815
2163,1859.2199238973,1863.30820699142,1855.13164080318
2164,1867.88992476938,1871.93121420384,1863.84863533492
2165,1876.44992564107,1880.4442062501,1872.45564503204
2166,1884.89992651362,1888.847213463,1880.95263956425
2167,1893.23992738445,1897.14023836756,1889.33961640135
2168,1901.48992825645,1905.34326327329,1897.63659323961
2169,1909.61992912834,1913.42627301315,1905.81358524353
2170,1917.64992999959,1921.40928275237,1913.89057724681
2171,1925.57993087127,1929.2923000749,1921.86756166764
2172,1933.39993174294,1937.06528453826,1929.73457894762
2173,1941.10993261436,1944.72831449867,1937.49155073005
2174,1948.70993348703,1952.28131160117,1945.13855537289
2175,1956.20993435857,1959.73431881305,1952.68554990409
2176,1963.59993523001,1967.0773411906,1960.12252926942
2177,1970.87993610188,1974.31035093044,1967.44952127333
2178,1978.04993697368,1981.43335814258,1974.66651580479
2179,1985.10993784571,1988.44636535494,1981.77351033647
2180,1992.06993871785,1995.35937509505,1988.78050234064
2181,1998.92993958921,2002.17239494489,1995.68748423353
