"modname" "year_1.5" "conc_1.5" "year_2" "conc_2"
"1" "ACCESS-CM2" 2028 438.032958863569 2040 475.335956686696
"2" "ACCESS-ESM1-5" 2031 447.231958054629 2047 497.446956054101
"3" "BCC-CSM2-MR" 2037 465.896957137427 2059 534.185956913595
"4" "CAMS-CSM1-0" 2048 500.59195596484 2078 581.457967330177
"5" "CanESM5" 2013 395.724975585938 2024 426.068960175778
"6" "CESM2" 2027 435.011959191576 2042 481.673956500312
"7" "CESM2-WACCM" 2024 426.068960175778 2039 472.178956831622
"8" "CNRM-CM6-1" 2031 447.231958054629 2048 500.59195596484
"9" "CNRM-CM6-1-HR" 2017 405.761962330317 2031 447.231958054629
"10" "CNRM-ESM2-1" 2039 472.178956831622 2057 528.309956663165
"11" "EC-Earth3-Veg" 2009 386.280029296875 2030 444.142958229404
"12" "GFDL-CM4" 2031 447.231958054629 2050 506.874955813098
"13" "GFDL-ESM4" 2045 491.149956232524 2072 568.771962903422
"14" "GISS-E2-1-G" 2023 423.124960503827 2035 459.651957443143
"15" "HadGEM3-GC31-LL" 2020 414.389961491936 2034 456.540957595963
"16" "INM-CM4-8" 2035 459.651957443143 2062 542.794957916799
"17" "INM-CM5-0" 2037 465.896957137427 2073 571.082963641206
"18" "IPSL-CM6A-LR" 2022 420.197960831889 2036 462.769957290244
"19" "MCM-UA-1-0" 2021 417.286961159944 2040 475.335956686696
"20" "MIROC-ES2L" 2045 491.149956232524 2068 558.894960550258
"21" "MIROC6" 2046 494.299956143281 2073 571.082963641206
"22" "MPI-ESM1-2-HR" 2038 469.032956984527 2064 548.334958794584
"23" "MPI-ESM1-2-LR" 2037 465.896957137427 2058 531.260956788362
"24" "MRI-ESM2-0" 2029 441.076958535511 2047 497.446956054101
"25" "NorESM2-LM" 2052 513.136956036887 2081 586.769969787355
"26" "NorESM2-MM" 2050 506.874955813098 2084 591.295972731935
"27" "UKESM1-0-LL" 2023 423.124960503827 2034 456.540957595963
