"modname" "year_1.5" "conc_1.5" "year_2" "conc_2" "year_3" "conc_3" "year_4" "conc_4"
"1" "ACCESS-CM2" 2025 431.829953897743 2038 489.251936341873 2055 600.428907481918 2071 754.892878976157
"2" "ACCESS-ESM1-5" 2029 447.360949379162 2040 500.018933348844 2061 652.171896022323 2079 851.451868277378
"3" "BCC-CSM2-MR" 2032 460.16394527259 2044 523.266926897405 2066 700.898887295385 NA NA
"4" "CAMS-CSM1-0" 2041 505.607931748015 2058 625.390901653305 2085 930.670866284984 NA NA
"5" "CanESM5" 2012 393.015991210938 2022 421.334957286646 2040 500.018933348844 2054 592.506909424575
"6" "CESM2" 2025 431.829953897743 2035 474.111940807261 2054 592.506909424575 2070 743.661880364496
"7" "CESM2-WACCM" 2021 418.064958416287 2033 464.681943784216 2053 584.7839113674 2068 721.85088380449
"8" "CNRM-CM6-1" 2028 443.314950508807 2041 505.607931748015 2058 625.390901653305 2072 766.322877638561
"9" "CNRM-CM6-1-HR" 2017 405.793961600165 2028 443.314950508807 2050 562.783917155104 2065 690.738889040525
"10" "CNRM-ESM2-1" 2033 464.681943784216 2047 542.313922046664 2065 690.738889040525 2079 851.451868277378
"11" "EC-Earth3-Veg" 2008 384.739013671875 2025 431.829953897743 2049 555.799918812749 2066 700.898887295385
"12" "GFDL-CM4" 2030 451.514948204723 2042 511.341930131163 2060 643.040897792328 2079 851.451868277378
"13" "GFDL-ESM4" 2039 494.566934853371 2052 577.257913310324 2075 801.690873626683 NA NA
"14" "GISS-E2-1-G" 2022 421.334957286646 2031 455.778946761107 2058 625.390901653305 2080 864.368867091006
"15" "HadGEM3-GC31-LL" 2020 414.890959498126 2030 451.514948204723 2048 548.976920429738 2063 671.044892531424
"16" "INM-CM4-8" 2030 451.514948204723 2045 529.459925280386 2069 732.64788205912 NA NA
"17" "INM-CM5-0" 2031 455.778946761107 2046 535.808923663483 2074 789.718874964162 NA NA
"18" "IPSL-CM6A-LR" 2020 414.890959498126 2035 474.111940807261 2052 577.257913310324 2067 711.268885549711
"19" "MCM-UA-1-0" 2019 411.789960293081 2034 469.330942295665 2056 608.54990553898 2075 801.690873626683
"20" "MIROC-ES2L" 2037 484.071937830367 2048 548.976920429738 2073 777.929876301217 NA NA
"21" "MIROC6" 2040 500.018933348844 2053 584.7839113674 2076 813.847872289286 NA NA
"22" "MPI-ESM1-2-HR" 2033 464.681943784216 2049 555.799918812749 2074 789.718874964162 NA NA
"23" "MPI-ESM1-2-LR" 2035 474.111940807261 2049 555.799918812749 2072 766.322877638561 NA NA
"24" "MRI-ESM2-0" 2025 431.829953897743 2037 484.071937830367 2063 671.044892531424 2082 890.708866677827
"25" "NorESM2-LM" 2041 505.607931748015 2056 608.54990553898 2077 826.192870951985 NA NA
"26" "NorESM2-MM" 2042 511.341930131163 2056 608.54990553898 2077 826.192870951985 NA NA
"27" "UKESM1-0-LL" 2023 424.720956156997 2031 455.778946761107 2046 535.808923663483 2060 643.040897792328
